N,Serial Time,Parallel Time
1,0.000001,0.005033
2,0.000002,0.003858
3,0.000002,0.004108
4,0.000002,0.002897
5,0.000003,0.004089
6,0.000002,0.002924
7,0.000003,0.004056
8,0.000005,0.002954
9,0.000006,0.004021
10,0.000007,0.002967
11,0.000014,0.003986
12,0.000014,0.006975
13,0.000022,0.006960
14,0.000030,0.006956
15,0.000036,0.013942
16,0.000044,0.013936
17,0.000058,0.013916
18,0.000088,0.013883
19,0.000179,0.013891
20,0.000148,0.013894
21,0.000092,0.013864
22,0.000108,0.010393
23,0.000098,0.005549
24,0.000373,0.000112
25,0.000112,0.000027
26,0.000125,0.000148
27,0.000302,0.000125
28,0.001057,0.000053
29,0.000631,0.000254
30,0.000323,0.000161
31,0.000218,0.000027
32,0.014207,0.000030
33,0.000262,0.000042
34,0.002226,0.000114
35,0.000628,0.000040
36,0.000339,0.000044
37,0.000698,0.000958
38,0.000398,0.000053
39,0.001386,0.000055
40,0.014268,0.000057
41,0.001059,0.001214
42,0.000531,0.000645
43,0.015213,0.000136
44,0.014185,0.000534
45,0.027276,0.002127
46,0.015614,0.000090
47,0.013938,0.001125
48,0.014897,0.000076
49,0.015949,0.000094
50,0.014435,0.003081
51,0.012410,0.000102
52,0.015945,0.000274
53,0.015253,0.000421
54,0.015227,0.000115
55,0.015885,0.000167
56,0.016144,0.000122
57,0.018924,0.000325
58,0.016188,0.000143
59,0.017827,0.000158
60,0.017603,0.000153
61,0.016501,0.000324
62,0.029800,0.000255
63,0.029574,0.000167
64,0.029704,0.000551
65,0.031590,0.000190
66,0.031887,0.000319
67,0.029437,0.000216
68,0.030653,0.001407
69,0.030744,0.000777
70,0.032672,0.001372
71,0.032460,0.002208
72,0.046206,0.000447
73,0.042233,0.002507
74,0.043663,0.001370
75,0.043114,0.000319
76,0.041980,0.001048
77,0.058522,0.006159
78,0.046718,0.001608
79,0.057520,0.002247
80,0.058709,0.002851
81,0.058106,0.000416
82,0.061199,0.000413
83,0.048213,0.000541
84,0.060603,0.000404
85,0.061878,0.000979
86,0.064629,0.001022
87,0.063487,0.000581
88,0.073476,0.001144
89,0.061420,0.000459
90,0.078668,0.000720
91,0.078785,0.000986
92,0.077997,0.000596
93,0.079762,0.000780
94,0.081125,0.000558
95,0.091489,0.000643
96,0.092093,0.000800
97,0.094361,0.000605
98,0.092960,0.000635
99,0.108520,0.000732
100,0.110288,0.001300
101,0.110806,0.001234
102,0.108412,0.000727
103,0.109116,0.000741
104,0.109994,0.001524
105,0.121881,0.000883
106,0.121273,0.001326
107,0.121379,0.001071
108,0.148722,0.001698
109,0.153469,0.000807
110,0.140498,0.001055
111,0.155799,0.001007
112,0.169528,0.001593
113,0.167724,0.001047
114,0.153843,0.001252
115,0.180518,0.005117
116,0.166325,0.002418
117,0.194308,0.001607
118,0.171338,0.001203
119,0.174312,0.001221
120,0.215687,0.001242
121,0.186122,0.001277
122,0.203318,0.002680
123,0.215912,0.001155
124,0.215871,0.001669
125,0.232335,0.001252
126,0.234088,0.001493
127,0.235987,0.001346
128,0.244076,0.001534
129,0.218601,0.002248
130,0.236277,0.001512
131,0.223967,0.001923
132,0.268471,0.001487
133,0.254031,0.001598
134,0.253346,0.001673
135,0.254611,0.001551
136,0.268771,0.001608
137,0.256093,0.001630
138,0.332586,0.004330
139,0.266917,0.003385
140,0.290958,0.002323
141,0.316290,0.001933
142,0.287098,0.001813
143,0.316542,0.001821
144,0.303100,0.001809
145,0.333398,0.002086
146,0.318326,0.002022
147,0.329889,0.002166
148,0.337439,0.002253
149,0.335464,0.003889
150,0.346723,0.002569
151,0.343028,0.002457
152,0.340718,0.002463
153,0.342779,0.002592
154,0.341556,0.002798
155,0.336107,0.003224
156,0.332056,0.002974
157,0.344773,0.005158
158,0.316485,0.002706
159,0.333759,0.002973
160,0.342662,0.004672
161,0.320115,0.002940
162,0.339140,0.003290
163,0.341833,0.002967
164,0.336665,0.003133
165,0.340087,0.005756
166,0.326810,0.003573
167,0.331672,0.003467
168,0.341311,0.003404
169,0.345738,0.003449
170,0.331123,0.003500
171,0.333034,0.003623
172,0.332477,0.003785
173,0.340852,0.003893
174,0.338116,0.003621
175,0.334204,0.003856
176,0.338833,0.003638
177,0.330214,0.003689
178,0.334145,0.003913
179,0.337804,0.004320
180,0.332235,0.004804
181,0.336668,0.004195
182,0.342582,0.004078
183,0.331915,0.004239
184,0.330232,0.004158
185,0.330389,0.004642
186,0.340456,0.004395
187,0.330794,0.004563
188,0.333005,0.008229
189,0.337304,0.004326
190,0.343114,0.006769
191,0.337144,0.005726
192,0.342377,0.004836
193,0.336758,0.004968
194,0.333347,0.005238
195,0.328110,0.005114
196,0.327067,0.008209
197,0.327942,0.005361
198,0.327392,0.005304
199,0.335224,0.008742
200,0.328518,0.008831
201,0.328907,0.005826
202,0.339522,0.005578
203,0.340943,0.005904
204,0.336727,0.005526
205,0.345285,0.006482
206,0.343979,0.006000
207,0.328095,0.006364
208,0.335037,0.005958
209,0.339059,0.006003
210,0.337063,0.007186
211,0.330216,0.006268
212,0.338532,0.012580
213,0.331555,0.012281
214,0.327240,0.006415
215,0.343657,0.006742
216,0.333422,0.006860
217,0.337990,0.006709
218,0.331468,0.007643
219,0.332318,0.006990
220,0.335707,0.006845
221,0.337993,0.008409
222,0.336422,0.008712
223,0.355018,0.015053
224,0.348043,0.008627
225,0.339833,0.007456
226,0.333756,0.012962
227,0.339413,0.007739
228,0.354617,0.008039
229,0.348123,0.008011
230,0.337054,0.012887
231,0.333082,0.008011
232,0.335936,0.008191
233,0.346317,0.008534
234,0.337173,0.010022
235,0.331158,0.008433
236,0.333653,0.008619
237,0.332878,0.009324
238,0.335624,0.008584
239,0.343427,0.008884
240,0.328876,0.008896
241,0.340214,0.009245
242,0.338423,0.009245
243,0.342621,0.009582
244,0.335309,0.018714
245,0.330372,0.018956
246,0.330201,0.009905
247,0.338499,0.011613
248,0.331749,0.010032
249,0.337976,0.010074
250,0.330691,0.010249
251,0.339819,0.010367
252,0.334128,0.010434
253,0.342524,0.010502
254,0.332801,0.010308
255,0.343017,0.010720
256,0.341664,0.011302
257,0.331537,0.010893
258,0.345013,0.011008
259,0.341069,0.011239
260,0.337158,0.011230
261,0.335020,0.011279
262,0.347188,0.011643
263,0.340372,0.012689
264,0.338274,0.012421
265,0.345684,0.021590
266,0.251376,0.024309
267,0.359527,0.013713
268,0.367821,0.012804
269,0.356478,0.014169
270,0.351701,0.012862
271,0.351245,0.015829
272,0.357367,0.013266
273,0.362599,0.013406
274,0.351286,0.014149
275,0.352644,0.013647
276,0.356630,0.023037
277,0.356436,0.013787
278,0.352390,0.024231
279,0.359794,0.014415
280,0.337597,0.014577
281,0.359754,0.014173
282,0.349635,0.014752
283,0.350296,0.016005
284,0.358325,0.025906
285,0.349567,0.015792
286,0.354315,0.016822
287,0.360820,0.027705
288,0.358084,0.016616
289,0.353013,0.017588
290,0.359783,0.016022
291,0.349964,0.016014
292,0.361500,0.027279
293,0.356672,0.027966
294,0.347721,0.017470
295,0.358545,0.017852
296,0.357067,0.017619
297,0.348509,0.016758
298,0.353121,0.018597
299,0.363566,0.017297
300,0.356527,0.017909
301,0.374379,0.019249
302,0.367466,0.019902
303,0.370693,0.019915
304,0.385939,0.018725
305,0.338670,0.018824
306,0.349577,0.018319
307,0.346423,0.019846
308,0.353991,0.031199
309,0.348038,0.019826
310,0.362373,0.019271
311,0.352419,0.020257
312,0.345517,0.019551
313,0.350311,0.020215
314,0.353508,0.019677
315,0.361255,0.020856
316,0.344332,0.034520
317,0.351698,0.021287
318,0.356411,0.020538
319,0.357748,0.020938
320,0.368173,0.022936
321,0.355117,0.021572
322,0.344349,0.037329
323,0.355759,0.022685
324,0.350426,0.022189
325,0.351979,0.021591
326,0.354858,0.022090
327,0.356599,0.022649
328,0.352380,0.022785
329,0.356784,0.023157
330,0.363708,0.023273
331,0.355289,0.023833
332,0.351280,0.024340
333,0.362530,0.024736
334,0.365384,0.023964
335,0.357323,0.024249
336,0.365819,0.024290
337,0.362434,0.025060
338,0.350179,0.025543
339,0.351774,0.041384
340,0.366244,0.044356
341,0.384388,0.028060
342,0.367295,0.043472
343,0.362629,0.027519
344,0.359772,0.026052
345,0.360236,0.042601
346,0.364063,0.027606
347,0.368321,0.027535
348,0.364465,0.027505
349,0.368414,0.044360
350,0.361566,0.027478
351,0.366535,0.028979
352,0.371258,0.047890
353,0.363735,0.028072
354,0.367172,0.029159
355,0.375600,0.029461
356,0.380905,0.029264
357,0.365539,0.030078
358,0.372374,0.050000
359,0.379927,0.030856
360,0.378199,0.030714
361,0.376489,0.031766
362,0.374107,0.034329
363,0.368033,0.031470
364,0.370308,0.032378
365,0.383122,0.031608
366,0.378093,0.053309
367,0.378159,0.032900
368,0.378140,0.033334
369,0.377663,0.033064
370,0.380527,0.033912
371,0.383048,0.033963
372,0.380371,0.034688
373,0.382995,0.055068
374,0.377262,0.034589
375,0.388140,0.034843
376,0.386539,0.035178
377,0.380965,0.036277
378,0.393457,0.035887
379,0.385279,0.036875
380,0.385924,0.036414
381,0.383640,0.036252
382,0.381116,0.037793
383,0.391275,0.037113
384,0.421592,0.061775
385,0.383781,0.037742
386,0.392343,0.038629
387,0.392158,0.039683
388,0.415129,0.039366
389,0.386247,0.061703
390,0.394581,0.052191
391,0.388073,0.062561
392,0.397646,0.040831
393,0.386207,0.043098
394,0.390229,0.063655
395,0.392651,0.041541
396,0.400254,0.041567
397,0.407187,0.043133
398,0.409348,0.041886
399,0.388731,0.043048
400,0.408086,0.043641
401,0.406253,0.043462
402,0.429179,0.068852
403,0.280173,0.069257
404,0.433883,0.054461
405,0.449212,0.072119
406,0.490709,0.050563
407,0.472205,0.068638
408,0.437398,0.046293
409,0.410695,0.046035
410,0.414087,0.048313
411,0.411608,0.047585
412,0.409901,0.047244
413,0.500876,0.079703
414,0.522186,0.075430
415,0.520086,0.077397
416,0.529809,0.076471
417,0.466150,0.051247
418,0.440659,0.072772
419,0.447958,0.079721
420,0.452466,0.073214
421,0.434212,0.069182
422,0.534452,0.050847
423,0.418575,0.051099
424,0.490756,0.078207
425,0.462708,0.057474
426,0.445768,0.054607
427,0.464792,0.055221
428,0.438085,0.056662
429,0.443465,0.055678
430,0.436714,0.058206
431,0.437236,0.056709
432,0.457916,0.060124
433,0.477604,0.080906
434,0.481380,0.079658
435,0.452776,0.055350
436,0.462274,0.080452
437,0.516309,0.063779
438,0.462805,0.059352
439,0.491022,0.060231
440,0.526849,0.092440
441,0.631886,0.059830
442,0.534977,0.066456
443,0.523852,0.080859
444,0.540606,0.089283
445,0.479075,0.089646
446,0.585115,0.062504
447,0.496006,0.068822
448,0.586848,0.092842
449,0.547381,0.094271
450,0.541182,0.063051
451,0.517314,0.097813
452,0.521344,0.092136
453,0.464844,0.065305
454,0.516738,0.064529
455,0.610552,0.101720
456,0.564041,0.066569
457,0.528032,0.102835
458,0.549906,0.096569
459,0.497250,0.067051
460,0.512581,0.076839
461,0.545508,0.077233
462,0.574404,0.094485
463,0.514920,0.096540
464,0.454543,0.076592
465,0.525571,0.094586
466,0.502192,0.073563
467,0.562921,0.081699
468,0.559407,0.099867
469,0.618635,0.077186
470,0.578938,0.081388
471,0.544244,0.097471
472,0.478055,0.098267
473,0.491128,0.096995
474,0.493344,0.074327
475,0.496501,0.100131
476,0.490584,0.075152
477,0.508043,0.108048
478,0.523970,0.110515
479,0.500909,0.077134
480,0.566676,0.079142
481,0.497336,0.077881
482,0.534720,0.081534
483,0.566751,0.079848
484,0.542606,0.105197
485,0.610923,0.089780
486,0.594540,0.079232
487,0.591843,0.112592
488,0.536712,0.081307
